Cocktail_Name,Liquor,Garnish,Glassware,Original_Source,Ingredient_1,Measurement_1,Ingredient_2,Measurement_2,Ingredient_3,Measurement_3,Ingredient_4,Measurement_4,Ingredient_5,Measurement_5,Ingredient_6,Measurement_6,Ingredient_7,Measurement_7,Ingredient_8,Measurement_8,Ingredient_9,Measurement_9,Ingredient_10,Measurement_10,Ingredient_11,Measurement_11,Ingredient_12,Measurement_12,Ingredient_13,Measurement_13,Instruction_1,Instruction_2,Instruction_3,Instruction_4,Instruction_5,Instruction_6,Instruction_7,Instruction_8,Instruction_9,Instruction_10,Instruction_11,Instruction_12,Instruction_13,Instruction_14,Instruction_15,Instruction_16,Instruction_17,Instruction_18,Instruction_19,Instruction_20,Instruction_21,Instruction_22,Instruction_23
Hotaling White Manhattan,Vermouth,Orange Twist,N/A,Location: San Francisco,Christmas Spirit,2 oz,Tempus Fugit Alessio Vermouth Bianco,1 oz,Luxardo Triplum (Triple Sec),0.25 oz,Fee Brother'S Orange Bitters,1 dash,,,,,,,,,,,,,,,,,,,1: Combine Ingredients In A Mixing Glass And Stir With Ice.,2: Strain And Serve Up With An Orange Twist.,,,,,,,,,,,,,,,,,,,,,
Hotel D'alsace,Whiskey,N/A,Old-Fashioned Glass,N/A,Fresh Rosemary Sprig,1 oz,Irish Whiskey,2 oz,Benedictine,0.5 oz,Triple Sec,0.5 oz,,,,,,,,,,,,,,,,,,,1: Muddle leaves from half-sprig of rosemary in mixing glass and reserve the other half.,2: Add remaining ingredients.,3: Stir with ice and strain into ice-filled old-fashioned glass.,4: Garnish with remaining half-sprig of rosemary.,,,,,,,,,,,,,,,,,,,
Hotel Plaza Cocktail,Vermouth,N/A,Cocktail Glass,N/A,Sweet Vermouth,0.75 oz,Dry Vermouth,0.75 oz,Gin,0.75 oz,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into cocktail glass.,2: Decorate with a slice of pineapple.,,,,,,,,,,,,,,,,,,,,,
Humpty Dumpty,Vodka,N/A,Cocktail Glass,N/A,Vodka,2 oz,Orange Juice,1 oz,Galliano,0.5 oz,Whole Egg,1 oz,Peychaud'S Bitters,3 oz,,,,,,,,,,,,,,,,,1: Shake without ice.,2: Shake with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Huntsman Cocktail,Vodka,N/A,Cocktail Glass,N/A,Vodka,1.5 oz,Jamaica Rum,0.5 oz,Fresh Lime Juice,0.5 oz,Simple Syrup,0.5 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Hurricane,Rum,N/A,Hurricane Glass,N/A,"Each Dark Rum, Light Rum",1.5 oz,Passion Fruit Syrup,1 oz,Lime Juice,1 oz,Orange Juice,0.75 oz,"Each Simple Syrup, Grenadine",0.5 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into ice-filled hurricane glass.,2: Garnish with orange and cherry.,,,,,,,,,,,,,,,,,,,,,
Hurricane Leah,Tequila,N/A,Hurricane Glass,N/A,"Each Light Rum, Gin, Vodka, Blanco Tequila, Blue Curacao",0.25 oz,Cherry-Flavored Brandy,1 oz,Simple Syrup,1.5 oz,Fresh Lemon Juice,1.5 oz,Fresh Orange Juice,3 oz,,,,,,,,,,,,,,,,,"1: Pour ingredients, in order given, into ice-filled hurricane glass and stir.",2: Garnish with orange wheel.,,,,,,,,,,,,,,,,,,,,,
Hush and Wonder,Rum,N/A,Cocktail Glass,N/A,Creme De Violette,1 oz,Light Rum,2 oz,Fresh Lime Juice,0.75 oz,Simple Syrup,0.75 oz,Grapefruit Bitters,3 oz,,,,,,,,,,,,,,,,,1: Pour creme de violette into chilled cocktail glass and swirl to coat; discard excess liqueur.,2: Shake remaining ingredients with ice and strain into glass.,,,,,,,,,,,,,,,,,,,,,
Hyatt's Jamaican Banana,Rum,N/A,Brandy Snifter Glass,N/A,Light Rum,0.5 oz,White Creme De Cacao,0.5 oz,Creme De Banana,0.5 oz,Vanilla Ice Cream,2 oz,Half-And-Half,1 oz,Banana,1 oz,,,,,,,,,,,,,,,"1: Blend, then garnish with 2 slices banana, strawberry, and nutmeg, and serve in a large brandy snifter.",,,,,,,,,,,,,,,,,,,,,,
I'm Only Happy when it Rains,Whiskey,N/A,N/A,"Bartender: Carlo Splendorini , Bar: Michael Mina Restaurant Group, Location: San Francisco",Old Potrero Straight Rye Whiskey,1.5 oz,Hirsh Pinot Noir Reduction,0.75 oz,Luxardo Sangue Morlacco Cherry Liqueur,0.25 oz,Lemon Juice,0.75 oz,,,,,,,,,,,,,,,,,,,"1: Shake, Double Strain Into A Burgundy Glass.",,,,,,,,,,,,,,,,,,,,,,
I.A.P.,Whiskey,N/A,Collins Glass,N/A,Tennessee Whiskey,2 oz,Fernet-Branca,0.25 oz,Cola,3 oz,,,,,,,,,,,,,,,,,,,,,1: Build in ice-filled Collins glass.,,,,,,,,,,,,,,,,,,,,,,
IPA Mule,Vodka,Mint,Tin Cup Glass,"Bartender: Jon Ruiz, Bar: AMK Kitchen Bar, Location: Chicago",Hophead Vodka,1.5 oz,Ginger Liqueur,0.5 oz,Lime Juice,0.75 oz,Pure Cane Simple Syrup,0.5 oz,Count Deschutes Fresh Squeezed Ipa (From Tap),2,,,,,,,,,,,,,,,,,"1: Add All Ingredients Except Beer Into Shaker Tin, Shake Vigorously For 10 Seconds.",2: Add Beer In Shaker Tin Then Double Strain Into Tin Cup.,3: Add Mint For Garish.,,,,,,,,,,,,,,,,,,,,
Ibiza,Vodka,N/A,Cocktail Glass,N/A,Orange-Flavored Vodka,1 oz,Campari,0.5 oz,Grapefruit Juice,1 oz,Pomegranate Molasses,1 oz,Peach Schnapps,1 oz,"Apple Schnapps, Grapefruit Twist",1 oz,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,2: Add grapefruit twist.,,,,,,,,,,,,,,,,,,,,,
Ice Cream Flip,Triple Sec,N/A,Sour Glass,N/A,Whole Egg,1 oz,Maraschino,1 oz,Triple Sec,1 oz,Small Vanilla Ice Cream,1,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into sour glass.,2: Sprinkle a little nutmeg on top.,,,,,,,,,,,,,,,,,,,,,
Improved Calvados Cocktail,N/A,Orange Peel,Double Rocks Glass,"Bartender: Thad Vogler, Bar: Trou Normand, Location: San Francisco",C. Drouin Calvados Selection,2 oz,Bsp Benedictine,1,Bsp Green Chartreuse,1,Bsp Small Hand Foods Gum Syrup,1,Angostura Bitters,2 dash,,,,,,,,,,,,,,,,,"1: Stir To 35 °F, Strain Into A Double Rocks Glass Over An Angled Ice Wedge.",2: Garnish With Orange Peel.,,,,,,,,,,,,,,,,,,,,,
Improved Whisky Cocktail,Whisky,N/A,Coupe Glass,N/A,Nikka Whisky Taketsuru Pure Malt 12 Yo,2 oz,Luxardo Maraschino Liqueur,1 dash,Pontarlier Anis,1 dash,,,,,,,,,,,,,,,,,,,,,1: Stir And Strain Into A Chilled Coupe.,,,,,,,,,,,,,,,,,,,,,,
In HINEsight,Wine,Orange Peel,Old Fashioned Glass,"Bartender: Brian Means, Bar: Dirty Habit, Location: San Francisco",H By Hine,1.5 oz,Luxardo Bitter,1 oz,Quady Muscat Wine,0.5 oz,,,,,,,,,,,,,,,,,,,,,1: Stir And Strain Into An Old Fashioned Glass.,2: Large Ice Cube.,,,,,,,,,,,,,,,,,,,,,
Incider Cocktail,Whiskey,N/A,Old-Fashioned Glass,N/A,Rye Or Bourbon Whiskey,1.5 oz,Apple Cider,4 oz,Apple Slice,1 oz,,,,,,,,,,,,,,,,,,,,,1: Stir whiskey and apple cider in ice-filled old-fashioned glass.,2: Garnish with apple.,,,,,,,,,,,,,,,,,,,,,
International Mistress,Mezcal,Grapefruit Peel,Collins Glass,"Bar: MAVEN, Location: San Francisco",Amaro Nonino Quintessentia,1.5 oz,Lemon Juice,0.75 oz,Mezcal,0.5 oz,Small Hand Foods Orgeat,0.5 oz,Soda Water,2 oz,,,,,,,,,,,,,,,,,"1: Stir, Fine Strain Into A Collins Glass Over Ice.",2: Top With Soda.,3: Garnish With Grapefruit Peel.,,,,,,,,,,,,,,,,,,,,
Irish Goodbye,Whisky,Star Anise,Irish Coffee Glass,"Bartender: Ari & Micah Wilder, Location: Washington DC",Nikka Coffey Grain Whisky,1.5 oz,Absinthe,0.25 oz,Hot Coffee,4 oz,Homemade Irish Cream,2-3 oz,,,,,,,,,,,,,,,,,,,1: Combine The Coffee And Whiskey In A Preheated Cup.,2: Top With Irish Cream And Pour The Absinthe Over The Back Of A Spoon To Float.,3: Garnish.,,,,,,,,,,,,,,,,,,,,
Irish Rickey,Whiskey,N/A,Highball Glass,N/A,Irish Whiskey,1.5 oz,Fresh Lime Juice,0.5 oz,Soda Water,1 oz,Lime Wedge,1 oz,,,,,,,,,,,,,,,,,,,1: Pour whiskey and lime juice into ice-filled highball glass.,2: Fill with soda water and stir.,3: Garnish with lime.,,,,,,,,,,,,,,,,,,,,
Irish Shillelagh,Whiskey,N/A,Irish Coffee Glass,N/A,Irish Whiskey,1.5 oz,Light Rum,1 oz,Sloe Gin,0.5 oz,Fresh Lemon Juice,1 oz,Simple Syrup,0.5 oz,"Peach Slices, Maraschino Cherry",1,,,,,,,,,,,,,,,1: Shake with ice and strain into ice-filled Irish coffee glass.,"2: Garnish with berries, peach slices, and cherry.",,,,,,,,,,,,,,,,,,,,,
Irish Whiskey Cocktail,Whiskey,N/A,Cocktail Glass,N/A,Irish Whiskey,2 oz,Triple Sec,0.5 oz,Anisette,0.5 oz,Maraschino Liqueur,0.25 oz,Angostura Bitters,1 oz,Green Olive,1,,,,,,,,,,,,,,,1: Stir with ice and strain into chilled cocktail glass.,2: Garnish with olive.,,,,,,,,,,,,,,,,,,,,,
Irish Whiskey Highball,Whiskey,N/A,Highball Glass,N/A,Irish Whiskey,2 oz,Ginger Ale Or Soda Water,1 oz,Lemon Twist (Optional),1 oz,,,,,,,,,,,,,,,,,,,,,1: Pour whiskey into ice-filled highball glass.,2: Fill with ginger ale or soda water.,"3: Add lemon twist, if desired, and stir.",,,,,,,,,,,,,,,,,,,,
Irish Whisky ,Absinthe,N/A,Cocktail Glass,N/A,Mr. Boston Triple Sec,0.5 oz,Absinthe Substitute,0.5 oz,Maraschino,0.25 oz,Bitters,1 oz,Irish Whiskey,2 oz,,,,,,,,,,,,,,,,,1: Stir with ice and strain into cocktail glass.,2: Serve with an olive.,,,,,,,,,,,,,,,,,,,,,
Irish Whisky Cocktail,Absinthe,N/A,Cocktail Glass,N/A,Old Mr. Boston Triple Sec,0.5 oz,Absinthe Substitute,0.5 oz,Maraschino,0.25 oz,Bitters,1 oz,Irish Whiskey,2 oz,,,,,,,,,,,,,,,,,1: Stir with ice and strain into cocktail glass.,2: Serve with an olive.,,,,,,,,,,,,,,,,,,,,,
Iron Fist in a Velvet Glove,Pisco,Grapefruit Twist,Nick & Nora Glass,"Bartender: Brian Means, Bar: Dirty Habit, Location: San Francisco",Lillet Rose,1.25 oz,Barsol Primero Quebranta Pisco,0.75 oz,Prata Cachaca,0.75 oz,Velvet Falernum,0.25 oz,,,,,,,,,,,,,,,,,,,1: Stir With Ice And Strain Into A Nick & Nora Glass.,2: Garnish With A Grapefruit Twist.,,,,,,,,,,,,,,,,,,,,,
Iron Tonic,Liqueur,N/A,Coupe Glass,"Bar: Beretta, Location: San Francisco",Luxardo Maraschino Liqueur,0.75 oz,Genepy,0.75 oz,Luxardo Fernet,0.75 oz,Lime Juice,0.75 oz,Float Tonic Water,1,,,,,,,,,,,,,,,,,"1: Shake, Strain Into A Chilled Coupe, Float Tonic Water.",,,,,,,,,,,,,,,,,,,,,,
Irresistible,Rum,N/A,Cocktail Glass,N/A,Light Rum,1.5 oz,Sweet Vermouth,0.5 oz,Benedictine,0.25 oz,Fresh Lemon Juice,0.25 oz,,,,,,,,,,,,,,,,,,,1: Shake and strain into cocktail glass.,2: Add lemon twist.,,,,,,,,,,,,,,,,,,,,,
Italian Margarita,Tequila,N/A,N/A,Bar: Grimaldi's Pizzeria,Maestro Dobel Diamante Tequila,1.5 oz,Luxardo Amaretto Di Saschira,0.5 oz,Fresh Lime Juice,1 oz,Monin Cane Syrup,0.25 oz,,,,,,,,,,,,,,,,,,,1: Shaken And Served Over Ice.,,,,,,,,,,,,,,,,,,,,,,
Jack Maples,N/A,N/A,Cocktail Glass,N/A,Applejack,2 oz,Maple Syrup (Grade B Or Medium-Amber),1 oz,Aromatic Bitters,1 oz,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into cocktail glass.,2: Garnish with cinnamon stick.,,,,,,,,,,,,,,,,,,,,,
Jack Sparrow Flip,Rum,N/A,Highball Glass,N/A,Dark Rum,2 oz,Madeira,0.75 oz,Simple Syrup,0.75 oz,Egg,1 oz,Angostura Bitters,2 oz,,,,,,,,,,,,,,,,,1: Shake without ice.,2: Then shake with ice and strain into highball glass.,3: Top with nutmeg.,,,,,,,,,,,,,,,,,,,,
Jack-In-The-Box,N/A,N/A,Cocktail Glass,N/A,Applejack,1 oz,Pineapple Juice,1 oz,Angostura Bitters,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Jack-in-the-Box Cocktail,Brandy,N/A,Cocktail Glass,N/A,Apple Brandy,1 oz,Pineapple Juice,1 oz,Bitters,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Jacqueline,Rum,N/A,Cocktail Glass,N/A,Dark Rum,2 oz,Triple Sec,1 oz,Fresh Lime Juice,1 oz,Simple Syrup,1 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Jade,Rum,N/A,Cocktail Glass,N/A,Light Rum,1.5 oz,Fresh Lime Juice,0.5 oz,Green Creme De Menthe,0.5 oz,Triple Sec,0.5 oz,Simple Syrup Scant,0.5 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,2: Garnish with lime.,,,,,,,,,,,,,,,,,,,,,
Jalapeño Sour,Tequila,Jalapeño Slice,Double Rocks Glass,Bartender: Kevin Diedrich,Chinaco Blanco Tequila,2 oz,Green Chartreuse,0.5 oz,Lime Juice,0.5 oz,Pineapple Juice,1 oz,Jalapeño Syrup,0.5 oz,Egg White,0.5 oz,,,,,,,,,,,,,,,1: Dryshake/Shake/Dblrocks  Garnish Jalapeño Slice.,,,,,,,,,,,,,,,,,,,,,,
Jamaica Glow Cocktail,Gin,N/A,Cocktail Glass,N/A,Old Mr. Boston Dry Gin,1 oz,Claret,1 oz,Orange Juice,1 oz,Jamaica Rum,1 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Jamaica Granito,Brandy,N/A,Collins Glass,N/A,Brandy,1.5 oz,Triple Sec,1 oz,Lemon Or Orange Sherbet,1 oz,,,,,,,,,,,,,,,,,,,,,1: Add first three ingredients to Collins glass.,2: Add soda water.,3: Top with nutmeg.,,,,,,,,,,,,,,,,,,,,
Jamaica Hop,Brandy,N/A,Cocktail Glass,N/A,Coffee-Flavored Brandy,1 oz,Creme De Cacao (White),1 oz,Light Cream,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake well with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Jamaica Paloma,Mezcal,Salted Starfruit,N/A,Bartender: Caitlin Laman,Mezcal,2 oz,Jamaica Basil Flower Syrup,1 oz,Fresh Grapefruit Juice,0.75 oz,Fresh Lime Juice,0.5 oz,,,,,,,,,,,,,,,,,,,"1: Flash Shake, Strain Onto Fresh Ice, Top With Mexican Squirt.",2: Salted Starfruit Garnish.,,,,,,,,,,,,,,,,,,,,,
Jamaican Crawler,Rum,N/A,Collins Glass,N/A,Light Rum,1 oz,Melon Liqueur,1 oz,Pineapple Juice,3 oz,Grenadine,1 oz,,,,,,,,,,,,,,,,,,,1: Shake first three ingredients with ice and pour into Collins glass.,2: Add grenadine and stir.,,,,,,,,,,,,,,,,,,,,,
Jamaican Ginger,Rum,N/A,Collins Glass,N/A,Light Rum,1.5 oz,Dark Rum,1 oz,Falernum,0.5 oz,Fresh Lime Juice,0.5 oz,Angostura Bitters,4 oz,,,,,,,,,,,,,,,,,1: Stir first five ingredients in ice-filled Collins glass.,2: Top with ginger ale.,3: Garnish with lime.,,,,,,,,,,,,,,,,,,,,
Jammie Dodger Fizz,H By Hine,Orange Wheel,Collins Glass,"Bartender: Laura Maddox, Bar: Small Victory, Location: Austin",H By Hine,2 oz,Tempus Fugit Creme De Noyaux,0.5 oz,Orgeat,0.5 oz,Lemon,0.375 oz,Lime,0.375 oz,Heavy Whipping Cream,1 oz, Egg White,1,,,,,,,,,,,,,1: Combine All Ingredients And Shake Thoroughly Without Ice For Several Minutes.,"2: Add Ice, Shake, And Strain Into A Tall Collins Glass.",3: Top With Soda And Garnish With An Orange Wheel.,,,,,,,,,,,,,,,,,,,,
Japanese,Brandy,N/A,Cocktail Glass,N/A,Brandy,2 oz,Orgeat Or Almond Syrup,0.5 oz,Angostura Bitters,2 oz,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into chilled cocktail glass.,2: Add lemon twist.,,,,,,,,,,,,,,,,,,,,,
Japanese Cocktail,H By Hine,Lemon Peel,Cocktail Glass,N/A,H By Hine,2 oz,Luxardo Orgeat Syrup,0.5 oz,Angostura Bitters,3 dash,,,,,,,,,,,,,,,,,,,,,1: Fill A Mixing Glass Half Full With Ice.,"2: Add Cognac, Orgeat, And Bitters.",3: Stir Well.,4: Strain Into Chilled Cocktail Glass.,5: Twist Lemon Peel Over The Drink And Drop In As A Garnish.,,,,,,,,,,,,,,,,,,
Japonais No.3,Gin,Candied Ginger Stick,Highball Glass,"Bartender: Bruce Cole, Bar: Japonais, Location: Chicago",No.3 London Dry Gin,1.5 oz,King'S Ginger Liqueur,1 oz,Orange Juice,1 oz,Simple Syrup,1 dash, Cucumber Slices,2,Muddled,, Raspberries,2,Muddled,,,,,,,,,,,,"1: Muddle Two Cucumber Slices, Two Raspberries And Simple Syrup In A Highball, Add Ice.","2: Shake Gin, Ginger Liqueur And Orange Juice With Ice.",3: Strain Into Highball Glass.,4: Garnish With A Candied Ginger Stick.,,,,,,,,,,,,,,,,,,,
Jean Lafitte Cocktail,Gin,N/A,Cocktail Glass,N/A,Gin,1 oz,Triple Sec,0.5 oz,Anis,0.5 oz,Powdered Sugar,1 oz,Egg Yolk,1 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Jersey Lightning Cocktail,Brandy,N/A,Cocktail Glass,N/A,Apple Brandy,1.5 oz,Sweet Vermouth,0.5 oz,Juice Of A Lime,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Jeyplak Cocktail,Gin,N/A,Cocktail Glass,N/A,Gin,1.5 oz,Sweet Vermouth,0.75 oz,Anisette,0.25 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,2: Serve with a cherry.,,,,,,,,,,,,,,,,,,,,,
Jinx Cocktail,Tequila,N/A,Cocktail Glass,N/A,Blanco Tequila,1 oz,Blood Orange Liqueur,0.75 oz,Becherovka (Czech Digestif),0.75 oz,Fresh Grapefruit Juice,1 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,2: Flame grapefruit twist and add.,,,,,,,,,,,,,,,,,,,,,
Jitterbug Sour,Whiskey,N/A,Cocktail Glass,N/A,Straight Rye Whiskey,2 oz,Benedictine,0.5 oz,Fresh Lemon Juice,0.75 oz,Honey Syrup,0.5 oz,Egg White,1 oz,Angostura Bitters,1 dash,,,,,,,,,,,,,,,1: Shake first five ingredients with ice and strain into chilled cocktail glass.,2: Add bitters and lemon twist.,,,,,,,,,,,,,,,,,,,,,
Jocose Julep,Whiskey,N/A,Collins Glass,N/A,Bourbon Whiskey,2.5 oz,Green Creme De Menthe,0.5 oz,Fresh Lime Juice,1 oz,Simple Syrup,0.5 oz,Fresh Mint Leaves,5 oz,,,,,,,,,,,,,,,,,1: Combine first five ingredients in blender without ice until smooth.,2: Pour into ice-filled Collins glass.,3: Fill with soda water and stir.,4: Garnish with mint sprig.,,,,,,,,,,,,,,,,,,,
Julia's Child,Gin,Celery Leaf,Cocktail Glass,"Bartender: Calvin Marty, Bar: Best Intentions, Location: Chicago",Broker'S Gin,1 oz,Karlsson'S Gold Vodka,1 oz,Celery Root Puree,2 oz,Fresh Lemon Juice,0.5 oz,Simple Syrup,0.75 oz,Apple Bitters,3 dash,Angostura Bitters,1 dash,,,,,,,,,,,,,"1: Add All Ingredients To A Shaker And Shake With Ice, Then Double Strain Into A Cocktail Glass.",2: Garnish With A Celery Leaf.,,,,,,,,,,,,,,,,,,,,,
Jungle Juice,Vodka,N/A,Collins Glass,N/A,Vodka,1 oz,Light Rum,1 oz,Triple Sec,0.5 oz,"Each Cranberry Juice, Orange Juice, Pineapple Juice, Lemon Juice",1 oz,Simple Syrup,1 oz,,,,,,,,,,,,,,,,,1: Shake with ice and pour with ice into ice-filled Collins glass.,2: Garnish with orange and cherry.,,,,,,,,,,,,,,,,,,,,,
Junipero Jolly,Gin,Sage Leaf,Collins Glass,"Bartender: Carlos Yturria, Bar: The Treasury, Location: San Francisco",Junipero Gin,1 oz,Lemorton Pommeau De Normandie,0.5 oz,House-Made Green Apple Purée,0.75 oz,Lemon Juice,0.75 oz,Honey Syrup,0.5 oz,,,,,,,,,,,,,,,,,1: Shake All Ingredients.,2: Serve Over Crushed Ice In A Collins Glass.,3: Garnish With A Sage Leaf.,,,,,,,,,,,,,,,,,,,,
Just Beet It,Gin,Candied Thyme,Coupe Glass,"Bartender: Sarah Ruiz, Bar: Dirty Habit, Location: San Francisco",Junipero Gin,1.5 oz,Beet Thyme Reduction,1 oz,Licor 43,0.5 oz,Lemon Juice,0.5 oz,,,,,,,,,,,,,,,,,,,"1: Shaken Without Ice, Then With Ice And Strained Into A Large Coupe.",2: Garnished With Candied Thyme.,"3: Beet Thyme Reduction -- 520 Grams Raw Beets  -- 344 Grams Honey -- 2 Oranges Peeled (Just The Peels) -- 2 Sprigs Of Thyme -- Pinch Of Salt  Juice Beets, Add Honey And Let Dissolve And Cook For 15 Mins.",4: Add Thyme And Simmer For 5 More Mins.,5: Strain Through A Chinois Into A Container And Then Place In The Fridge.,"6: This Makes 1 Quart, So Multiply As Needed.",7: Use Within 1 Week.,,,,,,,,,,,,,,,,
K. C. B. Cocktail,Gin,N/A,Cocktail Glass,N/A,Kummel,0.5 oz,Mr. Boston Gin,1.5 oz,Mr. Boston Apricot Flavored Brandy,0.25 oz,Lemon Juice,0.25 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,2: Add a twist of lemon peel.,,,,,,,,,,,,,,,,,,,,,
K. G. B. Cocktail,Gin,N/A,Cocktail Glass,N/A,Kummel,0.5 oz,Gin,1.5 oz,Apricot Flavored Brandy,0.25 oz,Lemon Juice,0.25 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,2: Add a twist of lemon peel.,,,,,,,,,,,,,,,,,,,,,
K.C.B. Cocktail,Gin,N/A,Cocktail Glass,N/A,Old Mr. Boston Kummel,0.5 oz,Old Mr. Boston Dry Gin,1.5 oz,Old Mr. Boston Apricot Flavored Brandy,0.25 oz,Lemon Juice,0.25 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,2: Add twist of lemon peel.,,,,,,,,,,,,,,,,,,,,,
K.G.B. Cocktail,Gin,N/A,Cocktail Glass,N/A,Kummel,0.5 oz,Gin,1.5 oz,Apricot-Flavored Brandy,0.25 oz,Lemon Juice,0.25 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,2: Add a twist of lemon peel.,,,,,,,,,,,,,,,,,,,,,
Kanazawa,Whisky,Orange Peel,Cocktail Glass,N/A,Nikka Coffey Grain Whisky,2 oz,Dry Vermouth,0.75 oz,Luxardo Amaro Abano,0.25 oz,Bsp Luxardo Maraschino Liqueur,1,Angostura Bitters,1 dash,,,,,,,,,,,,,,,,,"1: Stir All Ingredients Until Well Chilled, And Strain Into A Chilled Cocktail Glass.",2: Garnish With An Orange Peel With Oils Squeeze Over Cocktail.,,,,,,,,,,,,,,,,,,,,,
Karlsson's Kold Brew,Vodka,N/A,Espresso Cup Glass,Bartender: Sean McClure,Karlsson'S Gold Vodka (Coffee-Infused),1 oz,Café Moka,0.75 oz,Cardamom Syrup,0.75 oz,Tbsp Soy Milk Coffee Foam,2,Espresso Powder,1 pinch,,,,,,,,,,,,,,,,,1: In A Boston Shaker Combine All Liquid Ingredients (Not The Foam) With Cracked Ice And Shake Vigorously For 20 Seconds.,2: Double Strain The Cocktail Into An Espresso Cup.,3: Using An Aero-Latte Frothing Whip Froth The Coffee Infused Soy Milk And Spoon The Froth Over The Cocktail.,4: Sprinkle With A Little Espresso Powder.,,,,,,,,,,,,,,,,,,,
Karlsson's Mule,Vodka,Lime Wheel,Copper Mug,N/A,Karlsson'S Gold Vodka,1.5 oz,Lime Juice,0.25 oz,Ginger Beer,3 oz,,,,,,,,,,,,,,,,,,,,,"1: Add Vodka And Lime Juice To Drinking Glass, Add Ice, And Top With Ginger Beer.",2: Garnish With A Lime.,,,,,,,,,,,,,,,,,,,,,
Karlsson's Old Fashioned,Vodka,Lemon Peel,N/A,N/A,Karlsson'S Gold Vodka,2 oz,Brown Sugar,1 cube,Bitter,1 splash,,,,,,,,,,,,,,,,,,,,,1: Put A Brown Sugar Cube At The Bottom Of A Frosted Glass.,2: Add A Splash Of Bitter And Muddle The Sugar.,3: Add Karlsson'S Gold Vodka And Stir With Ice.,4: Add Lemon And Orange Peels (Which You Can Burn For Added Flavor).,,,,,,,,,,,,,,,,,,,
Katana,Vodka,N/A,Cocktail Glass,N/A,Cucumber Slices,3 oz,Vodka,1.5 oz,Sake,0.5 oz,Fresh Lime Juice,0.75 oz,Simple Syrup,0.75 oz,Cucumber,1 oz,,,,,,,,,,,,,,,1: Muddle 3 cucumber slices in mixing glass.,2: Add remaining ingredients.,3: Shake with ice.,4: Double-strain into chilled cocktail glass.,5: Garnish with cucumber slice.,,,,,,,,,,,,,,,,,,
Kay Pacha Mi Pacha,Pisco,Luxardo Cherry,Martini Glass,N/A,Barsol Supremo Moste Verde Italia Pisco,1.5 oz,No.3 London Dry Gin,0.5 oz,Luxardo Maraschino Liqueur,0.5 oz,Lemon Juice,0.5 oz,Angostura Orange Bitters,2 dash,,,,,,,,,,,,,,,,,1: Shake All Ingredients With Ice.,2: Double Strain Into A Chilled Martini Glass.,3: Garnish With A Luxardo Maraschino Cherry.,,,,,,,,,,,,,,,,,,,,
Kentucky Likker,Bourbon,"Lemon Peel, Luxardo Cherry",Old Fashioned Glass,Bartender: Francesco Lafranconi,Hirsch Small Batch Reserve Bourbon,1.5 oz,Luxardo Amaro Abano,1 oz,Orange Bitters,2 dash,Club Soda,1 splash,,,,,,,,,,,,,,,,,,,"1: Pour The Ingredients In An Old Fashioned Glass, Then Fill Up With Ice And Stir Well Before Serving.",,,,,,,,,,,,,,,,,,,,,,
